id,name,popularity,genres,year
1bfl0AU8SqmLkElptOprhC,Julión Álvarez y su Norteño Banda,81,"['banda', 'musica mexicana', 'norteno', 'sad sierreno']",2015
0LcJLqbBmaGUft1e9Mm8HV,ABBA,81,"['europop', 'swedish pop']",2015
4SsVbpTthjScTS7U2hmr1X,Arcángel,83,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2015
2xiIXseIJcq3nG7C8fHeBj,Three Days Grace,75,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']",2015
6oMuImdp5ZcFhWP0ESe6mG,Migos,75,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
163tK9Wjr9P9DmM0AVK7lm,Lorde,77,"['art pop', 'metropopolis', 'nz pop', 'pop']",2015
1G9G7WwrXka3Z1r7aIDjI7,Outkast,76,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",2015
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,74,"['classic oklahoma country', 'contemporary country', 'country', 'country road', 'modern country rock']",2015
2C6i0I5RiGzDKN9IAF8reh,Banda MS de Sergio Lizárraga,80,"['banda', 'musica mexicana', 'norteno']",2015
3jOstUTkEu2JkjvRdBA5Gu,Weezer,74,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",2015
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,78,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",2015
3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,71,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",2015
67hb7towEyKvt5Z8Bx306c,Empire Of The Sun,77,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",2015
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,76,"['album rock', 'classic rock', 'hard rock', 'rock']",2015
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,80,"['dance pop', 'pop']",2015
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,80,"['dance pop', 'pop', 'pop rap']",2015
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,78,"['neo soul', 'pop', 'r&b']",2015
6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,74,"['dark trap', 'drill', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",2015
3RNrq3jvMZxD9ZyoOZbQOD,Korn,76,"['alternative metal', 'funk metal', 'hard rock', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2015
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,78,"['hip pop', 'pop']",2015
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,76,"['adult standards', 'easy listening', 'lounge']",2015
6s22t5Y3prQHyaHWUN1R1C,AJR,73,['pov: indie'],2015
1vCWHaC5f2uS3yhpwWbIA6,Avicii,81,"['dance pop', 'edm', 'pop', 'pop dance']",2015
0rvjqX7ttXeg3mTy8Xscbt,Journey,76,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",2015
1wRPtKGflJrBx9BmLsSwlU,Pritam,87,"['filmi', 'indian instrumental', 'modern bollywood']",2015
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,75,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",2015
0YinUQ50QDB7ZxSCLyQ40k,Mustard,75,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
2oQX8QiMXOyuqbcZEFsZfm,El Alfa,78,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']",2015
5LHRHt1k9lMyONurDHEdrp,Tyga,78,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
02kJSzxNuaWGqwubyUba0Z,G-Eazy,77,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",2015
3XxNRirzbjfLdDli06zMaB,Eyedress,76,"['noise pop', 'pov: indie']",2015
0cGUm45nv7Z6M6qdXYQGTX,Kehlani,75,"['pop', 'r&b', 'rap']",2015
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,80,"['indietronica', 'metropopolis', 'pop', 'uk pop']",2015
5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch,74,"['alternative metal', 'groove metal', 'nu metal']",2015
6tbjWDEIzxoDsBA1FuhfPW,Madonna,80,"['dance pop', 'pop']",2015
7cYEt1pqMgXJdq00hAwVpT,Chase Atlantic,79,['alternative r&b'],2015
5LfGQac0EIXyAN8aUwmNAQ,The Offspring,77,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",2015
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,75,"['arkansas country', 'outlaw country', 'rock']",2015
1gW6pz5n1aK249L0GvfQCC,Grupo Marca Registrada,78,"['corrido', 'norteno', 'sad sierreno']",2015
1moxjboGR7GNWYIMWsRjgG,Florence + The Machine,77,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",2015
3Isy6kedDrgPYoTS1dazA9,Sean Paul,81,"['dance pop', 'dancehall', 'pop', 'pop rap']",2015
4mxWe1mtYIYfP040G38yvS,Alan Jackson,73,['country'],2015
6roFdX1y5BYSbp60OTJWMd,Tim McGraw,72,"['contemporary country', 'country', 'country road']",2015
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,78,"['dance pop', 'pop', 'pop rap']",2015
0XKOBt59crntr7HQXXO8Yz,Brooks & Dunn,71,"['contemporary country', 'country', 'country road']",2015
3FUY2gzHeIiaesXtOAdB7A,Train,76,"['dance pop', 'neo mellow', 'pop', 'pop rock']",2015
2gBjLmx6zQnFGQJCAQpRgw,Nelly,75,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",2015
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,78,"['rock-and-roll', 'rockabilly']",2015
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,77,"['dance pop', 'pop', 'urban contemporary']",2015
4OBJLual30L7gRl5UkeRcT,T.I.,74,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
3UUJfRbrA2nTbcg4i0MOwu,Original Broadway Cast of Hamilton,73,"['broadway', 'show tunes']",2015
28AyklUmMECPwdfo8NEsV0,Jimmy Buffett,70,['trop rock'],2015
6y8XlgIV8BLlIg1tT1R10i,Old Dominion,71,"['contemporary country', 'country', 'country road', 'modern country rock']",2015
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,77,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']",2015
4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,73,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",2015
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,73,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2015
3hYtANQYrE6pd2PbtEyTIy,Los Tigres Del Norte,77,"['banda', 'musica mexicana', 'norteno', 'ranchera']",2015
2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,74,"['alternative metal', 'pop punk', 'rap metal']",2015
014WIDx7H4BRCHB1faiisK,Los Tucanes De Tijuana,75,"['banda', 'corrido', 'musica bajacaliforniana', 'musica mexicana', 'norteno']",2015
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,77,"['australian pop', 'pop', 'viral pop']",2015
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,73,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'rock', 'spacegrunge']",2015
3KV3p5EY4AvKxOlhGHORLg,Jeremih,74,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",2015
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,80,"['pop', 'viral pop']",2015
4obzFoKoKRHIphyHzJ35G3,Becky G,78,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",2015
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,77,"['pop rap', 'seattle hip hop']",2015
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,80,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2015
0nmQIMXWTXfhgOBdNzhGOs,Avenged Sevenfold,77,['alternative metal'],2015
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,79,"['k-pop', 'k-pop boy group']",2015
58lV9VcRSjABbAbfWS6skp,Bon Jovi,79,"['glam metal', 'rock']",2015
0SwO7SWeDHJijQ3XNS7xEE,MGMT,74,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",2015
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,77,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",2015
37230BxxYs9ksS7OkZw3IU,Chencho Corleone,79,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",2015
4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda,72,"['broadway', 'show tunes']",2015
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,78,"['dance pop', 'pop']",2015
540vIaP2JwjQb9dm3aArA4,DJ Snake,79,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",2015
2cFrymmkijnjDg9SS92EPM,blackbear,74,"['alt z', 'pop']",2015
7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,76,"['irish rock', 'pop rock', 'rock']",2015
4PPoI9LuYeFX8V674Z1R6l,Vicente Fernández,77,"['mariachi', 'ranchera']",2015
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,81,['electro house'],2015
5SXEylV07TC57eanSxxg4R,Stick Figure,71,"['reggae fusion', 'reggae rock']",2015
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,79,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']",2015
70BYFdaZbEKbeauJ670ysI,Shinedown,71,"['alternative metal', 'nu metal', 'post-grunge']",2015
78YqeIji3mgAS2K1Maca6x,Dylan Scott,71,"['contemporary country', 'country road', 'modern country rock']",2015
