id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,06HL4z0CvFAxyc27GXpf02,2024,87,2024-04-18,0.751,0.701,0.0,-8.39,129.994,0.22
0y5Ex8oQ8zCH5TQxHUy1Eo,you look like you love me (feat. Riley Green),6BRxQ8cD3eqnrVj6WKDok8,2024,83,2024-06-21,0.675,0.663,0.0,-5.851,128.942,0.455
2bl81llf715VEEbAx03yvB,Close To You,4tuJ0bMpJh08umKkEXKUI5,2024,85,2024-06-21,0.727,0.59,6.48e-05,-7.955,121.966,0.356
52eIcoLUM25zbQupAZYoFh,redrum,1URnnhqYAYcrqrcwql10ft,2024,85,2024-01-12,0.733,0.625,0.000983,-8.757,172.09,0.244
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,2EMAnMvWE2eb56ToJVfCWs,2024,82,2024-02-13,0.512,0.803,0.0,-6.871,96.02,0.435
1HBv0BqHfm6sMsAUg5H3Yo,Blue Green Red,3TVXtAsR1Inumwj472S9r4,2024,76,2024-08-10,0.678,0.762,0.0013,-4.921,129.985,0.83
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),66CXWjxzNUsdJxJ2JdwvnR,2024,89,2024-03-08,0.646,0.645,3.04e-05,-8.334,115.842,0.295
6fPan2saHdFaIHuTSatORv,L’AMOUR DE MA VIE,6qqNVTkY8uBg9cP3Jd7DAH,2024,87,2024-05-17,0.392,0.467,0.0174,-9.355,145.104,0.313
3c9EsIo34kil8Oj1reaozB,American Nights,40ZNYROS4zLfyyBSs2PGe2,2024,80,2024-07-04,0.678,0.57,9.92e-06,-5.629,137.581,0.358
57lsYy0OZLNb5OQ7fEa3Hs,Did It First (with Central Cee),3LZZPxNDGDFVSIPqf4JuEf,2024,87,2024-07-11,0.574,0.635,0.0,-7.453,153.938,0.592
6NjWCIYu1W8xa3HIvcIhd4,Nasty,0NIIxcxNHmOoyBx03SfTCD,2024,85,2024-04-12,0.411,0.931,5.26e-06,-8.433,100.002,0.515
2mWfVxEo4xZYDaz0v7hYrN,Juna,3l0CmX0FuQjFxr8SK7Vqag,2024,82,2024-07-12,0.714,0.606,0.098,-6.244,141.512,0.448
1C84d9abZVKWHT2YYpoean,Si No Quieres No,0pePYDrJGk8gqMRbXrLJC8,2024,88,2024-03-10,0.786,0.786,2.12e-06,-6.372,100.123,0.611
2prqm9sPLj10B4Wg0wE5x9,BLUE,6qqNVTkY8uBg9cP3Jd7DAH,2024,87,2024-05-17,0.337,0.349,0.172,-10.671,142.01,0.0365
73KAidtqbDftZjy8AD0H04,High Road (feat. Jessie Murph),1Tie3AZgLQZqYEp8Fv4zOZ,2024,80,2024-06-07,0.743,0.614,0.0,-5.046,138.077,0.623
1b8Uy52q8fZUBTlRkoXoT5,Housekeeping Knows (feat. Latto),3TVXtAsR1Inumwj472S9r4,2024,72,2024-08-10,0.735,0.783,0.0,-5.78,76.964,0.319
7z3PblAN3dH1JMewiRydkZ,GIRLS,2tIP7SsRs7vjIcLrU85W8J,2024,84,2024-06-28,0.734,0.731,1.67e-06,-3.145,101.008,0.797
3Rfre3qkrhwdZZ7dyznwbN,Lonely Road (with Jelly Roll),6TIYQ3jFPwQSRmorSezPxX,2024,81,2024-07-26,0.679,0.549,0.0,-5.501,100.214,0.235
5h68SoVFGleijCtjEja3xG,365,25uiPmTg16RbhZWAqwLBy5,2024,84,2024-06-07,0.856,0.761,0.503,-5.121,127.111,0.729
32lSgbCqRcIOyUSnfuUZEQ,Who,1oSPZhvZMIrWW5I41kPkkY,2024,89,2024-07-23,0.757,0.66,0.0,-3.743,116.034,0.838
4oPLjuY1WgGTL0Ja1doDOn,Magic Johnson,23hzc59PkIUau13dqXx5Ef,2024,80,2024-06-07,0.689,0.911,0.0,-6.176,140.034,0.546
1yqdD2ScjkqvaNBUzPQ4vR,Who,1oSPZhvZMIrWW5I41kPkkY,2024,88,2024-07-23,0.757,0.66,0.0,-3.743,116.034,0.838
6TGd66r0nlPaYm3KIoI7ET,THE GREATEST,6qqNVTkY8uBg9cP3Jd7DAH,2024,85,2024-05-17,0.192,0.407,3.33e-06,-10.99,128.173,0.159
5wPnPIZS8wr4lPNLz4qvHK,Who,1oSPZhvZMIrWW5I41kPkkY,2024,88,2024-07-23,0.757,0.66,0.0,-3.743,116.034,0.838
1vj47xD8v9wIhQrmQY2Dkv,Better Days (feat. John Mayer),40ZNYROS4zLfyyBSs2PGe2,2024,79,2024-07-04,0.564,0.562,0.0,-6.946,82.685,0.314
5Uptvz6j1sjDKxidAcnH2L,SI NO ES CONTIGO,1Yj5Xey7kTwvZla8sqdsdE,2024,89,2024-05-23,0.626,0.763,0.225,-5.637,100.02,0.78
0Lmbke3KNVFXtoH2mMSHCw,the boy is mine,66CXWjxzNUsdJxJ2JdwvnR,2024,86,2024-03-08,0.63,0.795,0.0,-5.854,97.998,0.447
5In8B6Om5OKrhwBMB4tXSi,Fuel,7dGJo4pcD2V6oG8kP0tJRR,2024,82,2024-07-12,0.662,0.885,0.0,-5.139,137.981,0.117
5496lks6V3fh1mZAB6IAap,Alibi (with Pabllo Vittar & Yseult),5MraexJKZDrQYzS98kNwie,2024,93,2024-06-28,0.754,0.741,8.21e-06,-5.412,126.98,0.717
0UYnhUfnUj5adChuAXvLUB,Sailor Song,1iCnM8foFssWlPRLfAbIwo,2024,82,2024-07-26,0.416,0.492,8.61e-05,-10.439,94.926,0.297
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,1Cs0zKBU1kc0i8ypK3B9ai,2024,91,2024-04-05,0.714,0.681,0.0,-4.617,129.976,0.554
61SRKyox0R9jCzci4JXKBS,What He'll Never Have,78YqeIji3mgAS2K1Maca6x,2024,80,2024-03-29,0.755,0.489,0.0,-4.471,113.05,0.384
2dono2Koz7DEvGwxUsmMLq,Linger - SiriusXM Session,5b5bt4mZQpJMoCRbiQ7diH,2024,81,2024-05-31,0.393,0.404,0.000443,-6.607,98.217,0.403
2aYZaN5SmkRDLsrrV8GkBQ,LA PATRULLA,12GqGscKJx3aE4t07u7eVZ,2024,86,2024-06-20,0.74,0.722,3.27e-05,-7.22,132.731,0.893
2a8VqAP1doFm8tPuj9Sl5e,It's Up (feat. Young Thug & 21 Savage),3TVXtAsR1Inumwj472S9r4,2024,55,2024-08-10,0.714,0.791,0.0,-4.908,139.933,0.32
61oMtVkdawT44CnEUYnd9Q,Blue Green Red,3TVXtAsR1Inumwj472S9r4,2024,48,2024-08-10,0.689,0.783,0.00325,-4.858,129.967,0.852
3A4QdG26Z0vcJ5iIQ2oNFQ,Housekeeping Knows (feat. Latto),3TVXtAsR1Inumwj472S9r4,2024,43,2024-08-10,0.709,0.771,0.0,-5.803,76.951,0.371
47Xj8eIAp7hYOOqArmkqZE,Spin You Around (1/24),4oUHIQIBe0LHzYfvXNW4QM,2024,78,2024-01-26,0.444,0.622,0.0,-6.06,141.952,0.603
6tWGe6nvXFWT0KhGCXM89q,Devil You Know,63wjVVauFUQ4gBw6QXTT5N,2024,79,2024-02-02,0.8,0.52,0.0,-4.256,93.155,0.538
07oO1U722crtVcavi6frX6,"Double Life - From ""Despicable Me 4""",2RdwBSPQiwcmiDo9kixcl8,2024,83,2024-06-14,0.652,0.851,0.0,-4.333,119.944,0.696
