id,name,popularity,genres,year,simplified_genre
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,78,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",2016,Rock
0z4gvV4rjIZ9wHck67ucSV,Akon,82,['dance pop'],2016,Pop
2wY79sveU1sp5g7SokKOiI,Sam Smith,83,"['pop', 'uk pop']",2016,Pop
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,74,"['contemporary country', 'country', 'country road', 'modern country rock']",2016,Country
5vngPClqofybhPERIqQMYd,George Strait,74,"['contemporary country', 'country', 'country road']",2016,Country
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,79,"['album rock', 'british invasion', 'classic rock', 'rock']",2016,Rock
21E3waRsmPlU7jZsS13rcj,Ne-Yo,81,"['dance pop', 'pop', 'r&b', 'urban contemporary']",2016,Pop
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,74,"['contemporary country', 'country', 'country road', 'modern country rock']",2016,Country
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,79,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",2016,Hip Hop
26dSoYclwsYLMAKD3tpOr4,Britney Spears,81,"['dance pop', 'pop']",2016,Pop
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,82,['pop'],2016,Pop
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,83,"['canadian pop', 'pop', 'viral pop']",2016,Pop
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,76,"['black americana', 'contemporary country', 'country', 'country road']",2016,Country
6tPHARSq45lQ8BSALCfkFC,Lainey Wilson,74,"['contemporary country', 'modern country pop']",2016,Country
3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney,73,"['contemporary country', 'country', 'country road']",2016,Country
5WUlDfRSoLAfcVSX1WnrxN,Sia,84,['pop'],2016,Pop
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,90,"['filmi', 'modern bollywood']",2016,Other
1ZwdS5xdxEREPySFridCfh,2Pac,79,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",2016,Funk
15iVAtD3s3FsQR4w1v6M0P,Chief Keef,76,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",2016,Rap
13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,76,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2016,Hip Hop
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,74,"['contemporary country', 'country', 'country road', 'modern country rock']",2016,Country
0hEurMDQu99nJRq8pTxO14,John Mayer,77,"['neo mellow', 'singer-songwriter']",2016,Other
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,81,"['dance pop', 'pop']",2016,Pop
33ScadVnbm2X8kkUqOkC6Z,Don Omar,83,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2016,Hip Hop
5fMUXHkw8R8eOP2RNVYEZX,Diplo,78,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",2016,Pop
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,75,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",2016,Rock
1KCSPY1glIKqW2TotWuXOR,P!nk,81,"['dance pop', 'pop']",2016,Pop
0EdvGhlC1FkGItLOWQzG4J,Sublime,73,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",2016,Rock
6U3ybJ9UHNKEdsH7ktGBZ7,JID,77,"['hip hop', 'pop rap', 'rap', 'underground hip hop']",2016,Hip Hop
6lcwlkAjBPSKnFBZjjZFJs,Alex G,76,"['philly indie', 'pov: indie', 'slacker rock']",2016,Indie
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,80,"['melodic metalcore', 'metalcore', 'modern rock', 'rock', 'uk metalcore']",2016,Metal
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,77,['pop'],2016,Pop
1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,77,"['indie pop', 'la indie', 'pov: indie']",2016,Pop
