track_id,track_name,artist_id,year,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
5g15o2Sm55Hn9ShK5yEXgp,Kick The Dust Up,0BvkDsjIUla7X0k6CSWh1I,2015,0.86,0.597,0.0,-2.315,172.064,0.818,High,Fast,Medium,Happy,0.4883459999999999,0.9814435103547264,Very High,None,0.7948887020709453
1BZG99C7Co1r6QUC3zaS59,Same Old Love,0C8ZW7ezQVs4URX5aX7Kqx,2015,0.593,0.672,0.0,-4.01,98.02,0.438,Medium,Slow,Medium,Neutral,0.294336,0.9235185564896452,Very High,None,0.644053711297929
1iEwyiSLAunPR6uouANE0O,El Perdedor,1r4hJ1h58CWwUQe3MxPuau,2015,0.73,0.702,1.25e-06,-5.173,173.967,0.879,High,Fast,High,Happy,0.617058,0.8837741781149614,Very High,Low,0.7896048356229923
3DXXKDbbZKyAZfNb96ST3q,Confident,6S2OmqARrzebs0tKUEyXyp,2015,0.749,0.594,0.000139,-6.251,130.064,0.344,High,Medium,Medium,Neutral,0.2043359999999999,0.8469345909370515,Very High,Low,0.6208369181874103
1Gsv8f8KmowkF5BnfMIGKy,Sound of the Sea,5SXEylV07TC57eanSxxg4R,2015,0.585,0.86,0.0102,-6.993,134.012,0.671,Medium,Medium,High,Happy,0.57706,0.8215774724899187,Very High,Low,0.7363154944979838
7m9XR7FquXLP1FewdAcNS9,Guns and Ships,3cR4rhS2hBWqI7rJEBacvN,2015,0.666,0.72,0.0,-6.914,138.03,0.383,High,Medium,High,Neutral,0.27576,0.8242772196022146,Very High,None,0.6431054439204429
1qFSPn37zEeCyRiVpkW9dt,Light It Up (Remix),738wLrAtLtCtFOLvQBXOXp,2015,0.877,0.747,0.00089,-3.782,107.989,0.751,High,Medium,High,Happy,0.560997,0.9313102316998156,Very High,Low,0.8173620463399631
0FmrNFYyLLRtIS7XWJPLLk,Akina Speed Star,3uo0ix4Y67XHVWBhXXIY1S,2015,0.273,0.931,0.0,-11.723,119.956,0.0603,Low,Medium,High,Sad,0.0561393,0.6599343858929669,High,None,0.4946118771785934
6y6jbcPG4Yn3Du4moXaenr,idfc,2cFrymmkijnjDg9SS92EPM,2015,0.5,0.63,4.04e-05,-8.755,144.871,0.315,Medium,Fast,Medium,Neutral,0.19845,0.7613628596814982,Very High,Low,0.5450225719362997
3xICQbK4Hmb0DGjpDsD83j,Malditas Ganas,2wC90WSKQd0BvdxJZ0mObr,2015,0.594,0.909,0.000218,-5.745,114.9,0.946,Medium,Medium,High,Happy,0.859914,0.8642266420613766,Very High,Low,0.8305453284122752
50f6Sc85lbQgEaOfQm41Zr,Trust in You,40LHVA5BTQp9RxHOQ9JPYj,2015,0.636,0.413,0.0,-5.651,176.048,0.203,Medium,Fast,Medium,Sad,0.083839,0.8674389993848678,Very High,None,0.5071377998769736
2UDumaw7osnyjH7RZ2DLpB,I Am Machine,2xiIXseIJcq3nG7C8fHeBj,2015,0.97,0.402,2.62e-06,-4.538,75.106,0.476,High,Slow,Medium,Neutral,0.191352,0.905474677055567,Very High,Low,0.6631949354111134
