artist_id,artist_name,popularity,genres,year,simplified_genre
5OWksQm7ONWIGZqMXovSli,Calmly,80,[],2021,Other
2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,81,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",2021,Hip Hop
45dkTj5sMRSjrmBSBeiHym,Tate McRae,82,['pop'],2021,Pop
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,82,"['album rock', 'classic rock', 'country rock', 'mellow gold', 'rock', 'southern rock', 'swamp rock']",2021,Rock
45TgXXqMDdF8BkjA83OM7z,Rod Wave,77,['florida rap'],2021,Rap
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,86,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2021,Hip Hop
6Ghvu1VvMGScGpOUJBAHNH,Deftones,79,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",2021,Metal
23zg3TcAtWQy7J6upgbUnj,USHER,82,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",2021,Hip Hop
6olE6TJLqED3rqDCT0FyPh,Nirvana,82,"['grunge', 'permanent wave', 'rock']",2021,Grunge
7gW0r5CkdEUMm42w9XpyZO,Laufey,81,['gen z singer-songwriter'],2021,Other
6PH3FLQAxtqYy46Zv08bpV,Ivan Cornejo,80,['sad sierreno'],2021,Other
3q7HBObVc0L8jNeTe5Gofh,50 Cent,83,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",2021,Hip Hop
7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,82,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",2021,Funk
5ZS223C6JyBfXasXxrRqOk,Jhené Aiko,78,['r&b'],2021,R&B
2ye2Wgw4gimLv2eAKyk1NB,Metallica,83,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",2021,Rock
5tQMB0cuNXdCtzovGt55uD,LUCKI,76,['plugg'],2021,Other
