id,name,artist_id,year,popularity,release_date,energy,danceability,instrumentalness,loudness,tempo,valence,energy_category,tempo_category,danceability_category,valence_category,danceability_valence_interaction,loudness_scaled,loudness_category,instrumentalness_category,custom_score
2otVGlTIMyGhIAyCcwb79v,XOXO (Kisses Hugs),1oYXEVbGh1L7EWGm9C68cN,2022,70,2022-09-19,0.94,0.589,0.0,-2.328,118.007,0.83,High,Medium,Medium,Happy,0.4888699999999999,0.9531205582116552,Very High,None,0.809824111642331
40dfo65kBJa1UgzkD652Gl,Burn,33NVpKoXjItPwUJTMZIOiY,2022,70,2022-09-16,0.408,0.574,0.00295,-9.733,126.127,0.134,Medium,Medium,Medium,Sad,0.076916,0.7617521643623206,Very High,Low,0.4600504328724641
5UnrKDpkTDKUAB3yM2Pu3X,Edge of the Ocean,5SXEylV07TC57eanSxxg4R,2022,65,2022-09-09,0.749,0.744,0.169,-5.982,144.015,0.893,High,Fast,High,Happy,0.664392,0.8586897531980876,Very High,Low,0.8054379506396174
1PNF8TGeKgU0SbW3guKg0f,loser monologue,02vrwnrNEeDRV96o9iPSYP,2022,68,2022-08-05,0.085,0.339,0.874,-22.814,129.904,0.0385,Low,Medium,Low,Sad,0.0130515,0.4236981522160485,Low,High,0.2173146304432097
0MXemkrh7WpAfiafcGQwZO,NOSTYLIST,1HPW4jeRjXBFRoUnSvBzoD,2022,68,2022-08-12,0.773,0.567,0.0,-5.166,160.08,0.496,High,Fast,Medium,Neutral,0.281232,0.8797777490631864,Very High,None,0.6633055498126372
3QqOcLtTU8zzlQRJCZzttP,C’est La Vie (with bbno$ & Rich Brian),2YOYua8FpudSEiB9s88IgQ,2022,68,2022-10-28,0.805,0.889,0.0,-3.642,142.119,0.759,High,Fast,High,Happy,0.674751,0.9191626825171212,Very High,None,0.8415325365034242
0CQPPHjPpG4kAzvfOcKvh8,For God Is With Us,3sDbKMebVH2VYcRSl7u1VC,2022,66,2022-03-11,0.643,0.338,1.98e-05,-7.093,75.571,0.15,Medium,Slow,Low,Sad,0.0507,0.8299780333376405,Very High,Low,0.4656456066675281
6BePGk3eCan4FqaW2X8Qy3,10:35,2o5jDhtHVPhrJdv3cEQ99Z,2022,75,2022-11-03,0.793,0.696,3.78e-06,-5.733,120.003,0.698,High,Medium,Medium,Happy,0.4858079999999999,0.8651246931128053,Very High,Low,0.7545749386225611
6y8z28epOv5FlaxDv1Lo5B,Jordan,7j6DKwmjbxvpQO8h914uEz,2022,77,2022-05-24,0.68,0.796,0.000683,-5.555,179.923,0.71,High,Fast,High,Happy,0.56516,0.8697247706422018,Very High,Low,0.7602449541284404
3SsJ17EnPIu1B4GZshqjIS,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),0iEtIxbK0KxaSlF7G42ZOp,2022,68,2022-12-02,0.768,0.498,0.0,-5.99,177.97,0.387,High,Fast,Medium,Neutral,0.192726,0.8584830081405866,Very High,None,0.6098466016281174
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),2hlmm7s2ICUX0LVIhVFlZQ,2022,69,2022-01-13,0.422,0.773,0.00693,-4.572,77.502,0.488,Medium,Slow,High,Neutral,0.377224,0.8951285695826334,Very High,Low,0.6384257139165267
4rmVZajAF7PkrCagGPHbqa,Sticky,3TVXtAsR1Inumwj472S9r4,2022,69,2022-06-17,0.495,0.853,0.000217,-14.63,137.027,0.0774,Medium,Medium,High,Sad,0.0660221999999999,0.63519834603954,High,Low,0.5260396692079079
2uuJs2nltcYFh9pkKP7bW4,Show Me,2P5sC9cVZDToPxyomzF1UH,2022,68,2022-07-22,0.646,0.599,4.36e-06,-6.326,176.153,0.638,Medium,Fast,Medium,Happy,0.382162,0.8497997157255459,Very High,Low,0.6706599431451092
59CfNbkERJ3NoTXDvoURjj,Boyfriend,2W8yFh0Ga6Yf3jiayVxwkE,2022,73,2022-02-11,0.612,0.345,0.0,-6.543,179.773,0.232,Medium,Fast,Low,Sad,0.08004,0.8441917560408321,Very High,None,0.4833383512081664
4dWY6RpM9zmYvwqxrNvwtV,Tocame,1oH2B8tcHn4Gpl2bmmyd4A,2022,74,2022-02-01,0.367,0.647,0.0,-14.356,99.803,0.714,Medium,Slow,Medium,Happy,0.461958,0.6422793642589482,High,None,0.5928058728517897
4HXiZiCbYIiG03OQwXRYnE,Stars Like Confetti,1dID9zgn0OV0Y8ud7Mh2tS,2022,65,2022-02-11,0.874,0.623,0.0,-3.058,109.97,0.961,High,Medium,Medium,Happy,0.598703,0.9342550717146918,Very High,None,0.8325010143429383
6qmvAJSUfVGMubvI2awW7p,uh oh,45dkTj5sMRSjrmBSBeiHym,2022,68,2022-09-30,0.604,0.625,2.06e-05,-7.415,174.089,0.372,Medium,Fast,Medium,Neutral,0.2324999999999999,0.8216565447732265,Very High,Low,0.5958313089546453
7I4XALvCb2VEmOCtGUe5uY,10 Things I Hate About You,6oWOHAOyBUn6aJlKIPJK9r,2022,69,2022-10-28,0.786,0.544,0.0,-2.97,153.967,0.446,High,Fast,Medium,Neutral,0.242624,0.9365292673472024,Very High,None,0.6585058534694406
4HcARAxzsbIB3MqiEkejM6,Locksmith,0sMAHzxguan2KpnKFZPW2d,2022,71,2022-10-07,0.348,0.566,7.66e-06,-10.726,98.734,0.374,Medium,Slow,Medium,Neutral,0.2116839999999999,0.7360899341000129,High,Low,0.4975179868200025
0uZFcsx96wzbixsULmrg8o,Pasilyo,4bLLB1dbsRVUTcMpnDGDO2,2022,76,2022-10-28,0.61,0.716,2.77e-05,-4.674,120.069,0.41,Medium,Medium,High,Neutral,0.29356,0.892492570099496,Very High,Low,0.6482985140198991
65BmUqyPuH4QLfQjcoJPFL,Stone's Throw,6IKlXZEFOvk9itrP1s0knJ,2022,64,2022-04-29,0.303,0.745,1.66e-06,-9.309,76.06,0.72,Low,Slow,High,Happy,0.5364,0.7727096524098721,Very High,Low,0.6337919304819745
5gUiTylvifZnUrynE4FFPu,By Your Side,45TgXXqMDdF8BkjA83OM7z,2022,64,2022-08-12,0.508,0.649,3.59e-05,-10.232,157.975,0.405,Medium,Fast,Medium,Neutral,0.262845,0.7488564414006977,High,Low,0.5727212882801396
03hcfTQjONwVFIYEu7Sx7u,Up To No Good,7kplJl06UmldxLKseURAYi,2022,65,2022-09-30,0.873,0.516,0.000352,-4.605,156.133,0.751,High,Fast,Medium,Happy,0.387516,0.8942757462204419,Very High,Low,0.7396551492440884
4jx9GqqVMPacAOKHaFlsLb,Teen Bean,3gBZUcNeVumkeeJ19CY2sX,2022,66,2022-02-18,0.576,0.751,4.36e-05,-7.702,146.973,0.158,Medium,Fast,High,Sad,0.118658,0.8142395658353793,Very High,Low,0.5716479131670757
4VkEkljlOC5cMbRMhREO5E,snowfall (Slowed + Reverb),0dgJbQ0bKPyUXco8hEXN7X,2022,72,2022-04-01,0.0521,0.397,0.874,-29.745,77.982,0.101,Low,Slow,Low,Sad,0.040097,0.2445794030236464,Very Low,High,0.2062908806047292
5kpxVMDvYGRmNqawPqDTYR,JGL,49EE6lVLgU8sp7dFgPshgM,2022,72,2022-02-18,0.586,0.702,0.0,-5.317,112.852,0.965,Medium,Medium,High,Happy,0.67743,0.8758754361028557,Very High,None,0.7735250872205711
6HBRLaSQ7NB8MNlaqzYen1,What My World Spins Around,77kULmXAQ6vWer7IIHdGzI,2022,65,2022-05-27,0.726,0.675,0.0,-6.459,124.872,0.671,High,Medium,Medium,Happy,0.4529250000000001,0.8463625791445923,Very High,None,0.7210225158289184
6Um358vY92UBv5DloTRX9L,Que Vuelvas,66ihevNkSYNzRAl44dx6jJ,2022,73,2022-12-09,0.643,0.491,0.0,-4.309,162.469,0.779,Medium,Fast,Medium,Happy,0.382489,0.9019253133479778,Very High,None,0.6831850626695956
1UsvO5U72YRU8Xnq8Lp14O,Champagne Face,1VPmR4DJC1PlOtd0IADAO0,2022,65,2022-12-16,0.767,0.894,2.36e-05,-4.695,144.077,0.412,High,Fast,High,Neutral,0.368328,0.8919498643235559,Very High,Low,0.7413399728647112
2LYeGSaYKRYwgz4lvnG6mL,Vamos Aclarando Muchas Cosas - En Vivo,0IoWUuXfqpkfpxBRzthHU4,2022,71,2022-09-02,0.548,0.57,0.0,-5.688,106.791,0.813,Medium,Medium,Medium,Happy,0.4634099999999999,0.8662876340612482,Very High,None,0.6845075268122496
4pHCz444L8yvFDar6FC0xd,Cold,02vrwnrNEeDRV96o9iPSYP,2022,68,2022-08-05,0.0331,0.713,0.931,-26.028,120.022,0.187,Low,Medium,High,Sad,0.133331,0.3406383253650342,Low,High,0.3370526650730068
4ihiiVAhf3Ta9h7IytC74L,Twin Flames,6ROfszneZDogjnbgqkxA7E,2022,66,2022-12-10,0.647,0.26,0.982,-4.226,119.906,0.417,Medium,Medium,Low,Neutral,0.10842,0.9040702933195504,Very High,High,0.5248140586639101
37J6sYIBny0g0YJi88FPnc,Blood Moon,3FMcVBx2TMq2f5gEPcUieC,2022,65,2022-12-14,0.398,0.653,0.000142,-9.519,133.037,0.438,Medium,Medium,Medium,Neutral,0.286014,0.7672825946504715,Very High,Low,0.5583565189300943
0T2SVUCPRmf2gUbGmgJXCT,Ahogándome en Alcohol,6eXHRfK9Ad3IpMpSAqvcDf,2022,70,2022-09-30,0.551,0.9,0.0,-7.283,108.013,0.508,Medium,Medium,High,Neutral,0.4572,0.8250678382219925,Very High,None,0.6997635676443985
3S68RFe1lsdCdTMPIMJM3X,Cash In Cash Out,2RdwBSPQiwcmiDo9kixcl8,2022,66,2022-06-10,0.56,0.877,1.45e-06,-3.751,119.971,0.154,Medium,Medium,High,Sad,0.135058,0.9163457811086704,Very High,Low,0.6248691562217341
07xOTRcQijB89eBXDMTAoa,CRY,5COD136qwj9wtuea78EGbF,2022,69,2022-04-22,0.481,0.676,1.02e-06,-11.254,152.003,0.608,Medium,Fast,Medium,Happy,0.411008,0.722444760304949,High,Low,0.6195389520609897
6jdwbcH788txYS6Doy1F1j,Step Back!,3ZHU5AKrUmIPnCFfr82QER,2022,72,2022-09-02,0.89,0.783,0.00417,-5.995,127.996,0.437,High,Medium,High,Neutral,0.342171,0.8583537924796485,Very High,Low,0.7383207584959297
